name,id,date,defect1,defect2,defect3,defect4,defect5,defect6,defect7,defect8,defect9,defect10,defect11,defect12
fe78d7c8-b877-4a4d-93b8-9e5dd51d8fa5, c5c70682-f180-4d75-80bf-25d576997275, 2022-03-30 05:49:27.330991+00:00, broken x 2,tailing x 18,Oval x 13,Diameter x 7,Diameter_1_1_60.7 x 1,Diameter_2_1_50.58 x 1,Diameter_2_2_50.34 x 1,Diameter_2_5_51.07 x 1,Diameter_2_6_51.07 x 1,Diameter_3_1_50.1 x 1,Diameter_3_5_51.07 x 1 ,
356dfaac-5f0a-4dd9-9027-dd9afdced6ad, 46680b32-a1e5-4262-9b47-17ef401f11e9, 2022-03-30 07:00:55.179768+00:00, broken x 2,tailing x 18,Oval x 15,Diameter x 8,Diameter_1_1_57.57 x 1,Diameter_1_2_50.34 x 1,Diameter_2_1_51.55 x 1,Diameter_2_2_50.34 x 1,Diameter_2_3_51.07 x 1,Diameter_2_6_50.83 x 1,Diameter_3_1_50.58 x 1,Diameter_3_3_51.31 x 1 
c04e4f29-0ee0-4e7d-b638-37fb150add3e, 9a6ad218-3fc9-4767-a4af-ee637ddc0657, 2022-03-30 07:00:57.724473+00:00, broken x 3,tailing x 18,Oval x 14,Diameter x 8,Diameter_1_1_50.58 x 1,Diameter_1_6_50.58 x 1,Diameter_2_1_56.85 x 1,Diameter_2_5_45.53 x 1,Diameter_3_2_50.58 x 1,Diameter_3_3_40.47 x 1,Diameter_3_5_6.26 x 1,Diameter_3_6_50.83 x 1 
ab8b4eb2-d7c4-4083-994a-5fe0950d5927, 46680b32-a1e5-4262-9b47-17ef401f11e9, 2022-03-30 07:00:55.803315+00:00, broken x 2,tailing x 18,Oval x 15,Diameter x 8,Diameter_1_1_57.57 x 1,Diameter_1_2_50.34 x 1,Diameter_2_1_51.55 x 1,Diameter_2_2_50.34 x 1,Diameter_2_3_51.07 x 1,Diameter_2_6_50.83 x 1,Diameter_3_1_50.58 x 1,Diameter_3_3_51.31 x 1 
6252c668-c38f-433b-88e7-08d2cc86ae4d, 9a6ad218-3fc9-4767-a4af-ee637ddc0657, 2022-03-30 07:00:58.152178+00:00, creamout x 2,broken x 10,Oval x 9,Diameter x 6,Diameter_1_1_50.1 x 1,Diameter_1_4_43.84 x 1,Diameter_2_2_45.29 x 1,Diameter_2_3_45.77 x 1,Diameter_2_5_51.07 x 1,Diameter_2_6_45.77 x 1 ,,
1c5cbfd6-4843-400d-bc00-e7a986676fac, 5402259b-273a-440f-8d81-9aec134cb6a5, 2022-03-30 07:01:00.199470+00:00, broken x 3,tailing x 18,Oval x 14,Diameter x 8,Diameter_1_1_50.58 x 1,Diameter_1_6_50.58 x 1,Diameter_2_1_56.85 x 1,Diameter_2_5_45.53 x 1,Diameter_3_2_50.58 x 1,Diameter_3_3_40.47 x 1,Diameter_3_5_6.26 x 1,Diameter_3_6_50.83 x 1 
f84d942f-ea7a-439a-b9f6-d9544c2a7807, 9a6ad218-3fc9-4767-a4af-ee637ddc0657, 2022-03-30 07:00:58.374087+00:00, broken x 3,tailing x 18,Oval x 14,Diameter x 8,Diameter_1_1_50.58 x 1,Diameter_1_6_50.58 x 1,Diameter_2_1_56.85 x 1,Diameter_2_5_45.53 x 1,Diameter_3_2_50.58 x 1,Diameter_3_3_40.47 x 1,Diameter_3_5_6.26 x 1,Diameter_3_6_50.83 x 1 
56da6786-b78a-4562-be4f-bb7199abb20e, 5402259b-273a-440f-8d81-9aec134cb6a5, 2022-03-30 07:01:00.811475+00:00, tailing x 18,broken x 3,Oval x 14,Diameter x 8,Diameter_1_1_50.58 x 1,Diameter_1_6_50.58 x 1,Diameter_2_1_56.85 x 1,Diameter_2_5_45.53 x 1,Diameter_3_2_50.58 x 1,Diameter_3_3_40.47 x 1,Diameter_3_5_6.26 x 1,Diameter_3_6_50.83 x 1 
5b97a67c-8f1e-480a-82cc-54b314dc5d3d, e8bfe496-120d-4180-8583-8172fb2204b9, 2022-03-30 07:01:02.997169+00:00, broken x 2,tailing x 18,Oval x 13,Diameter x 7,Diameter_1_1_60.7 x 1,Diameter_2_1_50.58 x 1,Diameter_2_2_50.34 x 1,Diameter_2_5_51.07 x 1,Diameter_2_6_51.07 x 1,Diameter_3_1_50.1 x 1,Diameter_3_5_51.07 x 1 ,
5c18f250-9050-4934-ad34-7117e57f8339, 5402259b-273a-440f-8d81-9aec134cb6a5, 2022-03-30 07:01:01.308713+00:00, creamout x 2,broken x 10,Oval x 9,Diameter x 6,Diameter_1_1_50.1 x 1,Diameter_1_4_43.84 x 1,Diameter_2_2_45.29 x 1,Diameter_2_3_45.77 x 1,Diameter_2_5_51.07 x 1,Diameter_2_6_45.77 x 1 ,,
95a04aea-981c-4031-be8e-9b329201493b, e8bfe496-120d-4180-8583-8172fb2204b9, 2022-03-30 07:01:03.501994+00:00, broken x 2,tailing x 18,Oval x 13,Diameter x 7,Diameter_1_1_60.7 x 1,Diameter_2_1_50.58 x 1,Diameter_2_2_50.34 x 1,Diameter_2_5_51.07 x 1,Diameter_2_6_51.07 x 1,Diameter_3_1_50.1 x 1,Diameter_3_5_51.07 x 1 ,
74317688-37e5-4ec2-a114-ca906b07a565, 151585b9-8ad6-4554-bbe2-b078447cdb43, 2022-03-30 07:01:05.877708+00:00, creamout x 2,broken x 10,Oval x 9,Diameter x 6,Diameter_1_1_50.1 x 1,Diameter_1_5_43.84 x 1,Diameter_2_2_45.29 x 1,Diameter_2_3_45.77 x 1,Diameter_2_5_45.77 x 1,Diameter_2_6_50.58 x 1 ,,
15db7961-6c9a-45b6-8f6a-a1cf773835cc, e8bfe496-120d-4180-8583-8172fb2204b9, 2022-03-30 07:01:04.063750+00:00, broken x 2,tailing x 18,Oval x 13,Diameter x 7,Diameter_1_1_60.7 x 1,Diameter_2_1_50.58 x 1,Diameter_2_2_50.34 x 1,Diameter_2_5_51.07 x 1,Diameter_2_6_51.07 x 1,Diameter_3_1_50.1 x 1,Diameter_3_5_51.07 x 1 ,
5fda4c3f-6ecb-4586-94a6-dd060150959e, 151585b9-8ad6-4554-bbe2-b078447cdb43, 2022-03-30 07:01:06.223462+00:00, broken x 2,tailing x 18,Oval x 15,Diameter x 8,Diameter_1_1_57.57 x 1,Diameter_1_2_50.34 x 1,Diameter_2_1_51.55 x 1,Diameter_2_2_50.34 x 1,Diameter_2_3_51.07 x 1,Diameter_2_6_50.83 x 1,Diameter_3_1_50.58 x 1,Diameter_3_3_51.31 x 1 
ac711c15-78c6-460d-8c0a-75b1629f532c, 59f59629-08e9-4c46-83ef-8c64d768dfb0, 2022-03-30 07:01:08.335195+00:00, broken x 2,tailing x 18,Oval x 15,Diameter x 8,Diameter_1_1_57.57 x 1,Diameter_1_2_50.34 x 1,Diameter_2_1_51.55 x 1,Diameter_2_2_50.34 x 1,Diameter_2_3_51.07 x 1,Diameter_2_6_50.83 x 1,Diameter_3_1_50.58 x 1,Diameter_3_3_51.31 x 1 
e14a0475-a42b-43a3-9090-47131cf2e7d2, 151585b9-8ad6-4554-bbe2-b078447cdb43, 2022-03-30 07:01:06.760788+00:00, creamout x 2,broken x 10,Oval x 9,Diameter x 6,Diameter_1_1_50.1 x 1,Diameter_1_5_43.84 x 1,Diameter_2_2_45.29 x 1,Diameter_2_3_45.77 x 1,Diameter_2_5_45.77 x 1,Diameter_2_6_50.58 x 1 ,,
583f9416-9030-444b-80b6-723a8c2878e3, 59f59629-08e9-4c46-83ef-8c64d768dfb0, 2022-03-30 07:01:08.936734+00:00, broken x 2,tailing x 18,Oval x 15,Diameter x 8,Diameter_1_1_57.57 x 1,Diameter_1_2_50.34 x 1,Diameter_2_1_51.55 x 1,Diameter_2_2_50.34 x 1,Diameter_2_3_51.07 x 1,Diameter_2_6_50.83 x 1,Diameter_3_1_50.58 x 1,Diameter_3_3_51.31 x 1 
